Adaptation, R, 3, 7.8, Comedy / Crime / Drama
The Hours, PG-13, 3, 7.6, Drama
Kramer v. Kramer, PG, 3, 7.8, Drama
Manhattan, R, 1, 8.1, Comedy / Drama / Romance
Sophie's Choice, R, 3, 7.7, Drama / Romance
